,Name,Overall,Value,Wage,Release Clause,Age,log_value,predicted_log_value,value_difference
1143,Vinícius Júnior,77,17500000,66000,46800000,17,16.67771143889374,15.650274018081525,-1.0274374208122161
1522,A. Ćorić,76,14000000,38000,26600000,21,16.454567887579532,15.460304850986127,-0.9942630365934058
1343,I. Sarr,76,13500000,22000,28400000,20,16.41820024340866,15.460304850986127,-0.9578953924225324
1070,P. Cutrone,77,16000000,62000,30400000,20,16.588099280204055,15.650274018081525,-0.93782526212253
1172,N. Barella,77,15500000,24000,29500000,21,16.556350581889475,15.650274018081525,-0.9060765638079502
1149,R. Bentancur,77,15500000,62000,28700000,21,16.556350581889475,15.650274018081525,-0.9060765638079502
1422,B. Embolo,76,12500000,24000,23800000,21,16.34123920227253,15.460304850986127,-0.8809343512864025
1231,Wendel,76,12500000,10000,27500000,20,16.34123920227253,15.460304850986127,-0.8809343512864025
1403,M. Dembélé,76,12000000,43000,25200000,21,16.300417207752275,15.460304850986127,-0.8401123567661486
1327,K. Dolberg,76,12000000,15000,19200000,20,16.300417207752275,15.460304850986127,-0.8401123567661486
1434,A. Ndiaye Diedhiou,76,12000000,17000,27600000,21,16.300417207752275,15.460304850986127,-0.8401123567661486
1312,Gedson Fernandes,76,12000000,6000,26400000,19,16.300417207752275,15.460304850986127,-0.8401123567661486
1029,C. Ünder,77,14500000,46000,27600000,20,16.489659207390805,15.650274018081525,-0.8393851893092794
1004,J. Sancho,77,14500000,22000,27600000,18,16.489659207390805,15.650274018081525,-0.8393851893092794
1190,P. Schick,77,14000000,53000,26600000,22,16.454567887579532,15.650274018081525,-0.8042938694980073
1156,A. Diawara,77,14000000,41000,26600000,20,16.454567887579532,15.650274018081525,-0.8042938694980073
1564,S. Berge,76,11500000,11000,19600000,20,16.25785759333348,15.460304850986127,-0.797552742347353
1297,N. Pépé,76,11500000,26000,25300000,23,16.25785759333348,15.460304850986127,-0.797552742347353
1524,C. Nkunku,76,11500000,46000,23600000,20,16.25785759333348,15.460304850986127,-0.797552742347353
1515,J. Brekalo,76,11500000,33000,21900000,20,16.25785759333348,15.460304850986127,-0.797552742347353
1450,Marc Roca,76,11500000,17000,26500000,21,16.25785759333348,15.460304850986127,-0.797552742347353
